id,full_name,employment_status_code,ethnicity,gender,city,state,company,employee_number,original_hire,last_hire,seniority_date,seniority_years,termination_date,termination_reason,termination_reason_code,termination_type,effective_date,job,job_change,reason,employment_type,job_family,org_level_1,org_level_2,org_level_2_manager_first_mi_last_suffix,supervisor_name_unsecured,work_location,location
1018,Philip Choi,A,Hispanic,Non-Binary,Lake Mistyville,NY,MKN,4838,2023-12-08,2024-06-12,2023-12-08,1.0,,,,,2024-11-26,Learning mentor,False,Five paper require report social listen ten.,Part-Time,Product,Springline,Product Dept,Kenneth Petty,Ronald Richardson,Remote,"Lake Mistyville, NY"
1019,Jacob Smith,A,White,Male,South Jaredmouth,NY,MKN,2985,2017-02-20,2017-11-09,2017-02-20,8.0,,,,,2018-03-17,Risk analyst,False,,Contractor,Sales,Springline,Finance,Kelsey Burton,Mckenzie Kennedy,Regional Office,"South Jaredmouth, NY"
1020,Karen Valdez,T,White,Non-Binary,Port Davidbury,WA,MKN,5917,2018-03-20,2018-08-05,2018-03-20,6.0,2023-03-08,Resigned,TRC205,Transfer,2019-03-31,Professor Emeritus,False,,Part-Time,Engineering,Springline,Sales Dept,Mr. Stephen Mueller,Julie Perkins,Regional Office,"Port Davidbury, WA"
1021,William Lee,T,White,Female,West Kimberly,WA,Springline,5424,2016-03-29,2016-05-30,2016-03-29,8.0,2025-01-17,Contract Ended,TRC920,Transfer,2017-05-11,"Psychologist, sport and exercise",False,,Contractor,Product,Springline,Product Dept,Donna Galvan MD,Kara Morgan,Headquarters,"West Kimberly, WA"
1022,John Bishop,A,White,Female,Morganport,TX,MKN,7007,2022-05-01,2022-07-19,2022-05-01,2.0,,,,,2023-05-16,Public librarian,False,Down test contain.,Full-Time,Profesional,Springline,Finance,John Cooper,Brandon Frank,Remote,"Morganport, TX"
1023,Christopher Ross,A,Asian,Male,Marisaton,TX,MKN,6047,2018-07-05,2019-03-24,2018-07-05,6.0,,,,,2019-09-04,Comptroller,False,,Full-Time,Profesional,Springline,Sales Dept,Melissa Guerrero,Michael Carter,Headquarters,"Marisaton, TX"
1024,Richard Watkins Jr.,T,Asian,Female,Savannahborough,FL,MKN,7252,2015-03-11,2015-10-22,2015-03-11,9.0,2024-04-13,Laid Off,TRC837,Transfer,2016-01-18,Electronics engineer,False,Place door something.,Intern,Sales,Springline,Audit,Emily Sullivan,Wendy Ward,Regional Office,"Savannahborough, FL"
1025,Lindsey Foley,T,Asian,Female,Longborough,TX,MKN,9987,2024-01-25,2024-06-04,2024-01-25,1.0,2025-02-18,Resigned,TRC520,Transfer,2024-08-03,"Merchandiser, retail",False,,Intern,Profesional,Springline,Sales Dept,Jennifer Nguyen,Albert Williams,Remote,"Longborough, TX"
1026,Heather Prince,A,Hispanic,Non-Binary,New Crystalport,TX,MKN,8094,2015-11-04,2016-01-19,2015-11-04,9.0,,,,,2016-05-06,Metallurgist,False,,Contractor,Sales,Springline,Finance,Lori Zimmerman,Jimmy Baker,Regional Office,"New Crystalport, TX"
1027,Michelle Rivera,A,Black,Female,Wilcoxmouth,FL,MKN,1206,2017-09-01,2018-04-06,2017-09-01,7.0,,,,,2018-10-06,Chief Strategy Officer,False,Executive approach alone official.,Full-Time,Engineering,Springline,Sales Dept,David Gordon,Wesley Freeman,Regional Office,"Wilcoxmouth, FL"
1028,Deborah Terry,A,Black,Female,West Janeburgh,CA,Springline,7815,2015-09-28,2016-02-25,2015-09-28,9.0,,,,,2016-06-15,Government social research officer,False,,Part-Time,Profesional,Springline,Finance,Thomas Mayer,Madison Rivera,Headquarters,"West Janeburgh, CA"
1029,Mary Page,T,White,Male,North Johnburgh,FL,Springline,5293,2024-08-30,2024-11-27,2024-08-30,0.0,2025-02-15,Resigned,TRC563,Involuntary,2025-02-14,Economist,False,,Part-Time,Product,Springline,Sales Dept,Andrea Jones,Jesse Ramirez,Remote,"North Johnburgh, FL"
1030,Gina Neal,T,Asian,Male,West Jacob,WA,MKN,4764,2020-03-15,2021-02-22,2020-03-15,4.0,2023-07-31,Contract Ended,TRC357,Involuntary,2022-01-29,Petroleum engineer,False,,Intern,Product,Springline,Finance,Joshua Bell,Brett King,Headquarters,"West Jacob, WA"
1031,Dakota Crane,A,Asian,Non-Binary,Gonzalezburgh,WA,MKN,7639,2024-08-16,2025-03-02,2024-08-16,0.0,,,,,2025-07-14,Estate agent,False,Item third health various maybe voice entire job.,Contractor,Product,Springline,Product Dept,Isaac Lewis,William Cabrera,Remote,"Gonzalezburgh, WA"
1032,Courtney Snyder,A,Asian,Female,New Michelle,NY,MKN,6634,2022-01-09,2022-02-06,2022-01-09,3.0,,,,,2022-08-19,Merchant navy officer,False,Owner ground personal consider suffer continue.,Full-Time,Engineering,Springline,Audit,Theresa Mack,Richard Mcdonald,Regional Office,"New Michelle, NY"
1033,Benjamin Lamb,T,White,Non-Binary,Port Gary,FL,MKN,2232,2015-11-23,2016-05-09,2015-11-23,9.0,2017-08-23,Contract Ended,TRC923,Involuntary,2017-04-07,"Teacher, English as a foreign language",False,Level medical so letter available his.,Contractor,Engineering,Springline,Audit,Robert Harris,Holly Gardner,Regional Office,"Port Gary, FL"
1034,Karen Sparks,A,Asian,Non-Binary,Sheppardstad,CA,Springline,6701,2021-10-12,2022-05-30,2021-10-12,3.0,,,,,2022-11-09,Armed forces training and education officer,False,,Full-Time,Profesional,Springline,Finance,Lisa Richards,Robert Bell,Regional Office,"Sheppardstad, CA"
1035,Connie Brown,T,Black,Non-Binary,Katieville,CA,MKN,4674,2017-12-09,2018-11-30,2017-12-09,7.0,2022-02-20,Laid Off,TRC949,Involuntary,2019-05-19,Public relations officer,False,Even southern end entire late.,Contractor,Sales,Springline,Finance,John Farrell,Gerald Suarez,Headquarters,"Katieville, CA"
1036,Kevin Warren,T,Hispanic,Female,Coltonburgh,CA,MKN,7060,2019-03-13,2020-03-01,2019-03-13,5.0,2024-12-22,Retired,TRC250,Involuntary,2020-11-15,Leisure centre manager,False,Child yard prepare these similar require career.,Part-Time,Sales,Springline,Sales Dept,John Giles,Alyssa Singh,Headquarters,"Coltonburgh, CA"
1037,Nicole Zimmerman,T,Hispanic,Male,North Jack,CA,MKN,6620,2016-08-31,2016-10-16,2016-08-31,8.0,2021-01-06,Contract Ended,TRC751,Voluntary,2017-09-14,"Clinical scientist, histocompatibility and immunogenetics",False,,Part-Time,Engineering,Springline,Finance,Ashley Morton,Carmen Wilcox,Remote,"North Jack, CA"
1038,Jillian Valdez,T,White,Male,North Cindybury,CA,MKN,2790,2015-06-21,2016-02-19,2015-06-21,9.0,2017-02-14,Retired,TRC729,Transfer,2016-04-15,Health service manager,False,Only develop where million wait consider.,Contractor,Profesional,Springline,Finance,Erin Perkins,Melissa Ramirez,Headquarters,"North Cindybury, CA"
1039,Tyler Lewis,T,White,Non-Binary,East Evan,NY,Springline,5768,2023-06-19,2023-08-04,2023-06-19,1.0,2025-01-09,Contract Ended,TRC197,Involuntary,2024-07-16,Hospital doctor,False,,Contractor,Engineering,Springline,Product Dept,Jessica Reese,Linda Williams,Regional Office,"East Evan, NY"
1040,Denise Bruce,A,White,Female,New Robertfurt,WA,MKN,5747,2024-02-19,2025-01-14,2024-02-19,1.0,,,,,2025-12-16,Production engineer,False,,Part-Time,Engineering,Springline,Sales Dept,Jennifer Stewart,Christopher Atkins,Remote,"New Robertfurt, WA"
1041,Andrew Lawrence,A,Black,Non-Binary,Lake Joshuahaven,FL,Springline,2517,2021-04-12,2022-02-21,2021-04-12,3.0,,,,,2022-05-20,IT consultant,False,,Full-Time,Engineering,Springline,Finance,Jennifer Lynch,Eddie Stevens,Remote,"Lake Joshuahaven, FL"
1042,Christopher Rodriguez,A,Asian,Male,New Sheila,FL,MKN,9173,2016-08-14,2017-07-11,2016-08-14,8.0,,,,,2017-10-24,"Pharmacist, hospital",False,Hit respond clearly white pull.,Full-Time,Sales,Springline,Sales Dept,Jamie Miller,Brittany Brown,Headquarters,"New Sheila, FL"
1043,Erika Cardenas,T,Black,Female,Lake Cameron,WA,MKN,7164,2017-11-06,2018-02-10,2017-11-06,7.0,2023-07-24,Contract Ended,TRC195,Voluntary,2018-03-04,Museum/gallery curator,False,Difference bed list day.,Full-Time,Product,Springline,Finance,Shelly Bell,Tasha Austin,Headquarters,"Lake Cameron, WA"
1044,Jesse Hall,T,Hispanic,Female,Garrisonstad,WA,MKN,5902,2020-12-02,2021-01-06,2020-12-02,4.0,2024-11-10,Retired,TRC507,Transfer,2021-06-24,Estate agent,False,,Intern,Profesional,Springline,Audit,Michael Barron MD,William Smith,Headquarters,"Garrisonstad, WA"
1045,Michael Moore,T,Asian,Non-Binary,Farrellshire,NY,Springline,8969,2024-11-22,2025-08-21,2024-11-22,0.0,2025-02-19,Laid Off,TRC386,Involuntary,2025-02-19,"Designer, jewellery",False,,Intern,Engineering,Springline,Audit,Sean Kidd,Regina Martinez,Regional Office,"Farrellshire, NY"
1046,Anthony Cooke,A,Asian,Male,Mclaughlinstad,WA,Springline,3963,2022-01-10,2022-11-26,2022-01-10,3.0,,,,,2023-11-08,Meteorologist,False,,Intern,Profesional,Springline,Finance,Patrick Mcfarland,Brandy Thompson,Headquarters,"Mclaughlinstad, WA"
1047,Crystal Fisher,A,Hispanic,Female,Garciachester,FL,Springline,1996,2016-02-29,2016-06-14,2016-02-29,8.0,,,,,2017-02-17,Minerals surveyor,False,,Intern,Product,Springline,Product Dept,Bonnie Williams,Susan Smith,Regional Office,"Garciachester, FL"
1048,Todd David,A,Asian,Female,Michaelshire,NY,MKN,1418,2017-07-14,2018-03-22,2017-07-14,7.0,,,,,2018-08-16,Advertising art director,False,Sometimes actually similar find.,Intern,Engineering,Springline,Audit,Mark Howell,Thomas Frye,Headquarters,"Michaelshire, NY"
1049,Kendra Ortiz,A,Asian,Non-Binary,East Nicholas,TX,MKN,4062,2017-12-15,2018-12-12,2017-12-15,7.0,,,,,2019-02-21,Dramatherapist,False,,Full-Time,Engineering,Springline,Product Dept,Gavin Knight,Christine Thompson,Remote,"East Nicholas, TX"
1050,Michael Holmes,A,Hispanic,Female,East Angelaport,FL,MKN,3111,2021-04-04,2021-09-03,2021-04-04,3.0,,,,,2022-03-16,Corporate investment banker,False,,Part-Time,Engineering,Springline,Sales Dept,Samantha Massey,Jennifer Davis,Headquarters,"East Angelaport, FL"
1051,Joseph Wong,T,Hispanic,Male,Jasonberg,FL,MKN,9370,2016-05-17,2016-09-08,2016-05-17,8.0,2019-07-01,Retired,TRC447,Transfer,2017-06-30,Accommodation manager,False,,Intern,Sales,Springline,Finance,Janet Hernandez,Mary Flynn,Remote,"Jasonberg, FL"
1052,Kyle Gray,A,White,Female,Tonyafurt,WA,MKN,6067,2018-10-13,2019-05-02,2018-10-13,6.0,,,,,2019-09-22,Microbiologist,False,,Full-Time,Engineering,Springline,Finance,Robert Lee,Emily Jackson,Headquarters,"Tonyafurt, WA"
1053,Chad Davidson,T,Hispanic,Female,New Andrew,WA,MKN,1276,2020-11-03,2020-11-20,2020-11-03,4.0,2023-06-09,Laid Off,TRC937,Transfer,2021-05-30,Legal secretary,False,Expert now individual arm nothing officer.,Part-Time,Sales,Springline,Sales Dept,Daniel Farmer,Jeffrey Terry,Remote,"New Andrew, WA"
1054,Michael Key,A,White,Male,Davisbury,TX,MKN,8729,2019-01-27,2019-05-09,2019-01-27,6.0,,,,,2020-02-28,Multimedia programmer,False,Fly fire level home eye.,Contractor,Engineering,Springline,Audit,Amy Vasquez,Wayne Ibarra,Remote,"Davisbury, TX"
1055,Ruth Chang,T,White,Female,North Sarahburgh,FL,MKN,3737,2017-02-27,2017-04-23,2017-02-27,7.0,2022-06-25,Retired,TRC344,Voluntary,2017-12-25,"Psychologist, counselling",False,,Intern,Profesional,Springline,Audit,Garrett Fernandez,Holly Williams,Headquarters,"North Sarahburgh, FL"
1056,Misty Oneill,A,Black,Non-Binary,Joshualand,CA,MKN,3607,2019-10-23,2020-02-04,2019-10-23,5.0,,,,,2020-04-21,Cytogeneticist,False,,Part-Time,Engineering,Springline,Product Dept,Alyssa Mendez,Karen Elliott,Headquarters,"Joshualand, CA"
1057,Johnny Morris,A,Asian,Non-Binary,West Josephville,CA,MKN,5037,2022-10-19,2023-04-03,2022-10-19,2.0,,,,,2023-05-16,Social worker,False,,Part-Time,Profesional,Springline,Sales Dept,Caitlyn Lopez,Suzanne Howard,Remote,"West Josephville, CA"
1058,Benjamin Taylor,A,Hispanic,Non-Binary,Jonesland,NY,MKN,2139,2018-08-21,2019-02-20,2018-08-21,6.0,,,,,2019-09-05,"Administrator, local government",False,Political scientist receive whose many family.,Intern,Engineering,Springline,Finance,Linda Hardy,Joe Boone,Regional Office,"Jonesland, NY"
1059,Deborah Savage,T,Asian,Female,Lake Timothyberg,TX,MKN,2006,2023-08-22,2024-07-14,2023-08-22,1.0,2025-02-09,Laid Off,TRC525,Involuntary,2024-12-16,Hydrographic surveyor,False,Leg letter adult city.,Contractor,Product,Springline,Finance,Mark Erickson,John Knight,Remote,"Lake Timothyberg, TX"
1060,Debra Mcmillan,T,White,Non-Binary,Lake Matthewton,FL,Springline,9346,2017-06-20,2017-09-03,2017-06-20,7.0,2019-12-02,Retired,TRC262,Involuntary,2018-03-14,Manufacturing systems engineer,False,Red Congress heavy himself need under rest.,Contractor,Engineering,Springline,Finance,William Willis,Dylan Melton,Remote,"Lake Matthewton, FL"
1061,Seth Curry,T,Asian,Non-Binary,Perkinsbury,NY,Springline,7425,2019-02-25,2019-07-09,2019-02-25,5.0,2021-06-02,Laid Off,TRC903,Transfer,2019-12-24,Agricultural engineer,False,,Part-Time,Sales,Springline,Sales Dept,Bonnie Jensen,David White,Remote,"Perkinsbury, NY"
1062,Carlos Pratt,A,Hispanic,Male,South David,TX,MKN,1028,2020-05-31,2020-12-06,2020-05-31,4.0,,,,,2021-09-01,"Editor, commissioning",False,Region include foreign.,Intern,Product,Springline,Product Dept,Anthony Olson,Ryan Dodson,Headquarters,"South David, TX"
1063,Frederick Barron,A,White,Female,North Debra,CA,MKN,4780,2016-08-22,2016-10-11,2016-08-22,8.0,,,,,2016-12-30,"Pilot, airline",False,,Full-Time,Product,Springline,Product Dept,Robert Gomez,Grant Reed,Regional Office,"North Debra, CA"
1064,Christopher Tucker,T,Hispanic,Non-Binary,Connorshire,CA,Springline,9720,2018-09-07,2018-10-27,2018-09-07,6.0,2023-01-03,Laid Off,TRC447,Voluntary,2019-06-23,Clinical molecular geneticist,False,Person best can final article section.,Intern,Profesional,Springline,Audit,Jody Doyle,Stephanie Goodwin,Regional Office,"Connorshire, CA"
1065,Claudia Wheeler,T,Black,Non-Binary,Nathanielstad,FL,MKN,5492,2020-08-16,2020-12-07,2020-08-16,4.0,2024-07-28,Contract Ended,TRC527,Voluntary,2021-11-02,IT sales professional,False,,Full-Time,Product,Springline,Audit,William Waters,Thomas Tate,Regional Office,"Nathanielstad, FL"
1066,Shawn Mcdaniel,A,Asian,Male,Schwartzfort,FL,Springline,2133,2018-07-03,2018-12-10,2018-07-03,6.0,,,,,2019-03-22,"Lecturer, further education",False,,Intern,Engineering,Springline,Product Dept,Penny Lucas,John Garcia,Headquarters,"Schwartzfort, FL"
1067,Linda Harper,A,Asian,Non-Binary,Lake Michaelton,WA,MKN,1539,2015-02-26,2015-09-14,2015-02-26,9.0,,,,,2015-12-01,Publishing rights manager,False,,Intern,Engineering,Springline,Product Dept,Alex Briggs,Denise Cooper,Remote,"Lake Michaelton, WA"
1068,Tara Davies,A,White,Female,Carterfurt,CA,MKN,7668,2021-03-18,2021-12-18,2021-03-18,3.0,,,,,2022-05-19,Warehouse manager,False,,Full-Time,Sales,Springline,Finance,Jacob Pham,Geoffrey Harrison,Regional Office,"Carterfurt, CA"
1069,Ronald Ramos,A,Hispanic,Female,Kristintown,TX,MKN,9577,2022-01-01,2022-09-05,2022-01-01,3.0,,,,,2023-05-10,Oceanographer,False,,Contractor,Profesional,Springline,Finance,Michael Brown DDS,Michael Brown,Regional Office,"Kristintown, TX"
1070,John Johnson,A,Asian,Female,Cooperview,FL,Springline,2317,2019-01-25,2019-08-04,2019-01-25,6.0,,,,,2019-12-02,Psychiatrist,False,State job situation war skill catch.,Intern,Engineering,Springline,Finance,Breanna Hughes,Fernando Stewart,Regional Office,"Cooperview, FL"
1071,Crystal Hall,A,Black,Female,East Melanie,CA,Springline,7695,2021-10-29,2022-07-31,2021-10-29,3.0,,,,,2023-05-19,Forensic psychologist,False,,Contractor,Profesional,Springline,Finance,Kenneth Ellis,Christopher Harvey,Headquarters,"East Melanie, CA"
1072,Laura Jacobson,A,Hispanic,Female,Port Danielton,TX,MKN,7540,2017-09-13,2017-11-13,2017-09-13,7.0,,,,,2018-08-07,Medical secretary,False,,Part-Time,Sales,Springline,Audit,Dawn Stout,Leroy Tran,Headquarters,"Port Danielton, TX"
1073,Duane Evans,T,Hispanic,Non-Binary,Kaitlinshire,NY,Springline,4173,2022-06-04,2022-08-28,2022-06-04,2.0,2024-07-16,Retired,TRC769,Transfer,2023-03-22,Intelligence analyst,False,Season course fall figure partner wife.,Intern,Product,Springline,Sales Dept,David Hill,Jeremy Bryant,Headquarters,"Kaitlinshire, NY"
1074,Kathleen Pennington,A,Hispanic,Non-Binary,Thompsonview,WA,MKN,1416,2021-11-18,2021-12-16,2021-11-18,3.0,,,,,2022-07-05,Insurance account manager,False,Top among cover clearly begin ball finally per.,Intern,Product,Springline,Product Dept,Fred Walker,Kimberly Levine,Regional Office,"Thompsonview, WA"
1075,Robert Miller,T,White,Male,North Stephen,WA,MKN,4972,2022-10-19,2023-09-15,2022-10-19,2.0,2024-11-29,Retired,TRC801,Transfer,2024-03-27,Records manager,False,Color major hard receive employee role.,Intern,Engineering,Springline,Finance,Sarah Bartlett MD,Ronnie Scott,Regional Office,"North Stephen, WA"
1076,Sarah Wilkins,A,Black,Female,Braychester,WA,MKN,4988,2021-07-02,2022-01-18,2021-07-02,3.0,,,,,2022-01-20,Arboriculturist,False,,Intern,Profesional,Springline,Product Dept,Jerome Sutton,Emily Weber,Headquarters,"Braychester, WA"
1077,William Butler,A,Black,Non-Binary,South Angelaborough,CA,MKN,3078,2019-12-11,2020-11-18,2019-12-11,5.0,,,,,2021-03-31,Environmental consultant,False,,Part-Time,Sales,Springline,Product Dept,Erin Mcconnell,Valerie Bautista,Headquarters,"South Angelaborough, CA"
1078,Patrick Gomez,T,Black,Male,South Nicolemouth,FL,MKN,4790,2024-12-12,2025-02-02,2024-12-12,0.0,2025-02-19,Laid Off,TRC900,Transfer,2025-02-19,IT sales professional,False,Save less blood everything half Republican scene yeah.,Contractor,Engineering,Springline,Audit,James Davis,Matthew Phillips,Regional Office,"South Nicolemouth, FL"
1079,Norma Hernandez,T,White,Male,New Timothy,CA,MKN,3873,2022-05-11,2022-09-14,2022-05-11,2.0,2024-07-01,Laid Off,TRC954,Involuntary,2023-07-19,Secretary/administrator,False,Change right follow charge once.,Contractor,Profesional,Springline,Product Dept,Joshua Higgins,Joshua Rodriguez,Remote,"New Timothy, CA"
1080,Jennifer Reyes,T,Hispanic,Male,Johnfurt,WA,Springline,3107,2015-02-28,2016-01-16,2015-02-28,9.0,2017-05-15,Laid Off,TRC520,Voluntary,2016-01-16,Aid worker,False,Those cover body specific my education.,Intern,Engineering,Springline,Finance,Sheri Vazquez,Tammy Graves,Headquarters,"Johnfurt, WA"
1081,Mark Harrison,A,White,Non-Binary,Jessicashire,TX,MKN,6856,2015-05-22,2016-02-14,2015-05-22,9.0,,,,,2017-01-12,Air traffic controller,False,,Contractor,Product,Springline,Sales Dept,Shirley Mahoney,Julia Garrett,Headquarters,"Jessicashire, TX"
1082,Eric Cole,T,Black,Non-Binary,Michaelstad,WA,MKN,5304,2022-08-10,2023-02-25,2022-08-10,2.0,2025-01-14,Resigned,TRC563,Transfer,2023-08-28,Ergonomist,False,,Contractor,Product,Springline,Finance,Leah Johnson,Patrick Mcmahon,Remote,"Michaelstad, WA"
1083,Thomas Moore,A,Hispanic,Male,Zavalaview,CA,MKN,6850,2016-11-09,2017-07-25,2016-11-09,8.0,,,,,2018-05-30,Theatre manager,False,,Part-Time,Sales,Springline,Sales Dept,Christine Rogers,Jeremiah Mclaughlin,Regional Office,"Zavalaview, CA"
1084,Erik Serrano,T,Hispanic,Non-Binary,Richardsfurt,WA,MKN,8283,2017-12-30,2018-01-01,2017-12-30,7.0,2021-03-07,Contract Ended,TRC749,Involuntary,2018-09-06,Mining engineer,False,,Part-Time,Profesional,Springline,Sales Dept,Jennifer Jacobs,Jacob Mcbride,Remote,"Richardsfurt, WA"
1085,Christopher Perez,A,Asian,Male,Lake Kristin,FL,Springline,5816,2023-12-17,2024-06-29,2023-12-17,1.0,,,,,2024-10-24,Operational researcher,False,,Intern,Engineering,Springline,Finance,Timothy Hood,Michael Nguyen,Regional Office,"Lake Kristin, FL"
1086,Richard Medina,T,Black,Female,Lake Peter,CA,MKN,1261,2020-02-02,2020-09-19,2020-02-02,5.0,2021-07-10,Laid Off,TRC652,Involuntary,2021-01-12,Health service manager,False,Difficult yard adult sing couple pretty.,Part-Time,Product,Springline,Audit,Todd Robinson,Andrew Flores,Remote,"Lake Peter, CA"
1087,Tiffany Evans,A,Hispanic,Non-Binary,Port Julianville,TX,MKN,5680,2015-03-19,2015-04-07,2015-03-19,9.0,,,,,2015-06-14,Furniture conservator/restorer,False,,Part-Time,Engineering,Springline,Finance,Melissa Gonzalez,Alexandra Chang,Headquarters,"Port Julianville, TX"
1088,Philip Carroll,A,White,Female,West Christine,TX,MKN,2838,2024-03-10,2024-06-25,2024-03-10,0.0,,,,,2025-01-11,Systems developer,False,Southern prove any hard when cold event.,Intern,Product,Springline,Finance,Jenna Key,Joseph Mann,Remote,"West Christine, TX"
1089,Amber Perez,A,White,Non-Binary,North Jackland,FL,MKN,9418,2018-02-17,2018-11-22,2018-02-17,7.0,,,,,2018-12-24,Tax inspector,False,,Contractor,Profesional,Springline,Finance,Jodi Wheeler,Curtis Craig,Headquarters,"North Jackland, FL"
